Tour distance = 7389.929676351667
(273.1588, 72.6027)
(233.4325, 74.1015)
(276.8106, 51.5341)
(266.8353, 10.0)
(195.8223, 110.9538)
(195.4291, 96.0121)
(171.4522, 31.8651)
(315.6692, 103.6946)
(354.1409, 149.378)
(339.0843, 125.1764)
(349.328, 109.7422)
(300.6439, 163.8465)
(382.4749, 174.4978)
(396.3891, 185.0917)
(384.8782, 133.7609)
(549.3704, 134.975)
(484.3626, 122.6139)
(542.6786, 164.3521)
(539.0705, 180.1515)
(589.0593, 215.0038)
(559.7077, 243.4871)
(575.2262, 269.17)
(595.9071, 303.7975)
(266.2236, 220.0501)
(297.4665, 259.6835)
(313.8028, 257.0729)
(322.4235, 295.7811)
(423.7493, 428.0372)
(361.0886, 415.9177)
(427.1514, 411.3751)
(464.6742, 403.1801)
(507.659, 368.821)
(534.9506, 337.7491)
(543.8085, 328.3337)
(430.2164, 347.7012)
(392.4814, 357.9693)
(438.2191, 334.2714)
(468.0013, 344.5027)
(379.3163, 268.0682)
(404.9224, 278.8069)
(419.0551, 230.5192)
(493.3952, 289.869)
(458.7439, 267.5501)
(466.2847, 260.254)
(456.5466, 279.3881)
(513.583, 234.8127)
(516.7853, 226.868)
(504.5441, 194.1188)
(112.1935, 453.8568)
(51.3431, 442.4751)
(49.2269, 445.3535)
(40.6437, 429.6571)
(81.8307, 430.1109)
(152.5254, 450.5733)
(147.494, 473.6869)
(186.7959, 494.8372)
(171.3398, 542.6068)
(188.319, 445.5601)
(256.704, 513.9357)
(241.7536, 551.8405)
(168.0002, 365.8709)
(138.0119, 393.6293)
(180.0541, 359.8832)
(165.5969, 315.6168)
(168.9303, 293.8379)
(208.4506, 270.0458)
(221.3036, 324.1944)
(257.7839, 341.6199)
(311.7615, 353.9954)
(335.832, 362.5449)
(343.2292, 338.0936)
(301.4429, 341.7011)
(246.6101, 409.2352)
(233.9381, 419.6163)
(260.6304, 462.8601)
(261.548, 383.9406)
(54.483, 231.6509)
(58.4656, 232.0548)
(58.8089, 181.2302)
(97.2369, 149.8287)
(87.0681, 286.3926)
(165.5282, 248.162)
(211.9338, 223.0796)
(130.9518, 202.2638)
(53.7277, 276.0534)
(10.0, 346.6937)
(24.32, 366.198)
(56.6928, 367.5756)
(99.5465, 367.5969)
(86.7809, 336.4725)
(509.4693, 426.8362)
(578.7719, 403.2444)
(512.0536, 520.2136)
(523.4022, 491.6742)
(457.7327, 520.4371)
(428.4436, 526.3642)
(416.6955, 512.8015)
(394.4477, 513.852)
(330.164, 499.7318)
(371.5071, 590.0)
